Bitki_Hastalik,Cozum,Sure,Mekan,Tedavi
Apple leaf_Black rot,kimyasal,uzun vade,ev,Kış budaması yaparak enfekte olmuş dalları kesin. Bahar başında Captan bazlı fungisit uygulayın. Düzenli sulama ile ağacın direncini arttırmış olursunuz.
Apple leaf_Black rot,kimyasal,uzun vade,bahçe,Bakır bazlı fungisit kullanın. Fire blight enfeksiyonlarını kontrol altında tutarak hastalık riskini azaltın. Kuru mevsimlerde düzenli sulama sağlayın.
Apple leaf_Black rot,kimyasal,uzun vade,sera,Serada nem kontrolü yaparak mantar sporlarının yayılımını önleyin. Kükürt içerikli fungisitleri kış sonu veya erken ilkbaharda uygulayın.
Apple leaf_Black rot,kimyasal,kısa vade,ev,Hastalığın ilk belirtilerinde Captan fungisit uygulayın. Enfekte olmuş yaprakları toplayın ve uzaklaştırın.
Apple leaf_Black rot,kimyasal,kısa vade,bahçe,Bakır bazlı fungisit ile enfekte yaprakları ve dalları tedavi edin. Şiddetli enfeksiyon durumunda ek bir fungisit uygulaması yapabilirsiniz.
Apple leaf_Black rot,kimyasal,kısa vade,sera,Hastalığın hızlı yayılmasını önlemek için kükürt içerikli sprey kullanın. Hava sirkülasyonunu artırmak için serayı düzenli havalandırın.
Apple leaf_Black rot,doğal,uzun vade,ev,Kışın enfekte olmuş dalları budayın ve bahar aylarında organik bakır içeren bir ürün uygulayın. Ağacın çevresini malçla kaplayarak toprağın nemini koruyun.
Apple leaf_Black rot,doğal,uzun vade,bahçe,Düzenli sulama yaparak ağacın stresini azaltın. Enfekte olmuş dalları olabildiğinde çabuk kesin.
Apple leaf_Black rot,doğal,uzun vade,sera,Nem kontrolü yaparak mantar sporlarının yayılımını engelleyin. Faydalı mikroorganizmalar içeren organik ürünler kullanarak mantar büyümesini engelleyin.
Apple leaf_Black rot,doğal,kısa vade,ev,Enfekte olmuş dalları ve yaprakları ağaçtan temizleyin. Ağaç yapraklarına Neem yağı uygulayın.
Apple leaf_Black rot,doğal,kısa vade,bahçe,Hastalığın başlangıcında zayıf yaprakları budayın ve organik bakır içerikli sprey kullanın. Hastalıklı yaprakları kompost yapmadan uzaklaştırın.
Apple leaf_Black rot,doğal,kısa vade,sera,Organik bir kükürt spreyi ile yaprakları düzenli olarak tedavi edin. Mantar sporlarının yayılmasını engelleyin.
Apple leaf_Gray spot,kimyasal,uzun vade,ev,Bahar başlangıcında bakır veya mancozeb içerikli fungisit uygulayın. Yaprakların düzenli kontrolünü yaparak enfeksiyonu erken fark edin.
Apple leaf_Gray spot,kimyasal,uzun vade,bahçe,Budama yaparak ağacın hava akışını artırın ve büyüme sezonu boyunca koruyucu bakır bazlı fungisit kullanın. Toprak sağlığını desteklemek için düzenli gübreleme yapabilirsiniz.
Apple leaf_Gray spot,kimyasal,uzun vade,sera,Serada nem seviyesini kontrol edin ve ilkbaharda sistemik bir fungisit uygulayın. Kükürt bazlı fungisitler serada uzun vadeli koruma için etkilidir.
Apple leaf_Gray spot,kimyasal,kısa vade,ev,Hemen propineb içerikli bir fungisit uygulayın. Enfekte olmuş yaprakları toplayarak yayılmayı önleyin.
Apple leaf_Gray spot,kimyasal,kısa vade,bahçe,Bakır bazlı fungisitle hızlı bir müdahale yapın. Ağacın altındaki yaprakları toplayıp uzaklaştırarak hastalığın yayılmasını engelleyin.
Apple leaf_Gray spot,kimyasal,kısa vade,sera,Kükürt bazlı fungisitleri serada haftalık olarak uygulayın. Hava sirkülasyonunu artırarak enfeksiyonun hızla yayılmasını engelleyin.
Apple leaf_Gray spot,doğal,uzun vade,ev,Neem yağı veya organik bakır bazlı spreyleri düzenli olarak kullanın. Toprağı malçla kaplayarak bitkinin nem dengesini koruyun.
Apple leaf_Gray spot,doğal,uzun vade,bahçe,Bahar başında enfekte dalları budayın ve kompost çayı gibi doğal gübrelerle ağacın bağışıklığını artırın. Yaprakların nemli kalmasını önlemek için sabah erken sulama yapın.
Apple leaf_Gray spot,doğal,uzun vade,sera,Serada nem kontrolü sağlayarak mantar sporlarının yayılmasını engelleyin. Faydalı mikroorganizmalar içeren organik ürünleri düzenli olarak kullanabilirsiniz.
Apple leaf_Gray spot,doğal,kısa vade,ev,Enfekte yaprakları temizleyip Neem yağı püskürtün. Ayrıca ağacın etrafındaki yabancı otları temizleyerek bitkinin sağlıklı büyümesini destekleyin.
Apple leaf_Gray spot,doğal,kısa vade,bahçe,Karbonatlı su (1 litre suya 1 tatlı kaşığı karbonat) yapraklara uygulayarak mantarın büyümesini durdurun. Hasta yaprakları kompost yapmadan uzaklaştırın.
Apple leaf_Gray spot,doğal,kısa vade,sera,Organik kükürt spreyiyle haftalık uygulama yaparak hastalığın yayılmasını önleyin. Seranın hava akışını artırmak için düzenli havalandırma yapın.
